Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked
86.37181878089905,2,1,11:43:45,11:45:11,caq76IMRjDc
36.82606792449951,0,,12:38:08,12:38:45,
37.90135097503662,0,,12:40:37,12:41:15,
36.63290572166443,0,,12:43:03,12:43:40,
36.37133002281189,0,,12:44:03,12:44:39,
72.92502331733704,1,0,13:10:56,13:12:09,
89.83138155937195,1,0,13:35:10,13:36:40,
116.52171182632446,5,4,16:02:14,16:04:11,"mnfTSfgmRQA, ogiRp9DaSP8, AVa8RhHPchI, Q49x7EtnlTs"
130.08816623687744,5,2,17:24:35,17:26:45,"2GMoYWkKa7A, KsDCqlEtkEY"
132.65705609321594,4,0,17:54:48,17:57:01,
96.22772431373596,5,3,18:44:17,18:45:53,"CcOd4l9zVX0, eDL5TCOntfI, iOK5hHmvp0M"
128.55647492408752,6,1,19:04:20,19:06:28,0GWHeOczo2Y
