Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked,Check streamers time
36.58843398094177,12,0,00:12:18,00:12:54,"cg-MP4hzqHA,NDI3vtlHVX0,8Uq8hcG8INA,txexhMtUzns,PtBu29Sun2M,WepAcN2JFzQ,8EvXgU_LcPE,byuRz8NmfOc,ZPUKCFoiUIA,q-EZa6OdjcM,Dubr3pSFX38,pKtDGfLxjhQ",0.9249188899993896
1.9755494594573975,0,,07:47:58,07:48:00,,1.7334985733032227
2.6302878856658936,0,,08:07:26,08:07:29,,2.585285186767578
2.0879833698272705,0,,08:35:39,08:35:41,,1.8079569339752197
3.0739634037017822,0,,08:39:39,08:39:42,,2.999948024749756
3.363884210586548,0,,09:30:25,09:30:28,,3.254730224609375
2.3611843585968018,0,,10:01:55,10:01:57,,2.316181182861328
22.854681253433228,1,1,10:21:35,10:21:58,KxhQDBO_4iw,2.065638780593872
24.31382179260254,2,1,12:02:50,12:03:14,"KxhQDBO_4iw,umUjnKomqIs",5.895402431488037
25.586879014968872,2,2,18:11:47,18:12:13,"xfbpZBBqLRU,v0S1bUhmYDs",10.012043952941895
39.541343450546265,2,2,19:14:17,19:14:57,"9x61KZnu3mw,LTg4Ma7vvWE",13.234313726425171
18.15756106376648,2,0,19:24:06,19:24:25,"9x61KZnu3mw,LTg4Ma7vvWE",0.9015891551971436
22.543429851531982,2,0,19:53:03,19:53:25,"9x61KZnu3mw,LTg4Ma7vvWE",1.1338324546813965
17.964365243911743,1,1,20:17:47,20:18:05,xCj0bb5Wc34,0.893651008605957
36.44232749938965,3,2,20:23:10,20:23:46,"aPHng8urnYY,bEMTgtjmy7Y,xCj0bb5Wc34",1.653623104095459
41.59312987327576,5,3,21:11:14,21:11:55,"pyhZvrKn6QA,ETo9r8GqYPM,xCj0bb5Wc34,OhBhsWqPafY,bEMTgtjmy7Y",1.018075942993164
49.64231896400452,13,10,22:11:07,22:11:57,"0EF7RaQ_boA,NcTK7tpTPNA,u8arRZcAahE,lCpbnUtTpUE,zB-gj4NuPCk,pyhZvrKn6QA,GUtfsWgRE-I,kRon_yB2ajU,AjsSR6OL-lU,-GokUBiKuuc,ETo9r8GqYPM,OhBhsWqPafY,_OmxstrLyBM",0.7683637142181396
59.04800987243652,15,3,22:52:35,22:53:34,"NcTK7tpTPNA,iZDDXbzK7WQ,u8arRZcAahE,0EF7RaQ_boA,rQNKbBoleAc,zB-gj4NuPCk,ETo9r8GqYPM,pyhZvrKn6QA,_OmxstrLyBM,GUtfsWgRE-I,-GokUBiKuuc,AjsSR6OL-lU,kRon_yB2ajU,bVNy8Fzp_wA,OhBhsWqPafY",1.2371556758880615
67.00803136825562,17,2,23:04:33,23:05:40,"XjXhFvQ61J4,iZDDXbzK7WQ,rQNKbBoleAc,0EF7RaQ_boA,NcTK7tpTPNA,gZJeqhf3aco,u8arRZcAahE,zB-gj4NuPCk,bVNy8Fzp_wA,pyhZvrKn6QA,GUtfsWgRE-I,AjsSR6OL-lU,_OmxstrLyBM,kRon_yB2ajU,-GokUBiKuuc,ETo9r8GqYPM,OhBhsWqPafY",0.6979634761810303
31.810193061828613,10,0,23:51:31,23:52:03,"rQNKbBoleAc,u8arRZcAahE,gZJeqhf3aco,XjXhFvQ61J4,NcTK7tpTPNA,0EF7RaQ_boA,kRon_yB2ajU,GUtfsWgRE-I,bVNy8Fzp_wA,_OmxstrLyBM",0.6688053607940674
