Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked
175.00989174842834,3,3,08:24:58,08:27:53,"s85fTaMPW5Y, Mb_tMxSkHIw, ZWyoGVgFoYk"
134.89557194709778,3,2,11:47:42,11:49:57,"By19Fr1_mgc, xyCaxXM4jzk"
60.54760217666626,3,0,13:10:35,13:11:35,
63.94169020652771,2,0,14:15:13,14:16:16,
94.01538872718811,3,2,15:22:58,15:24:32,"Tufij7GNfvE, 71fCqz61F30"
40.03399205207825,3,0,15:43:38,15:44:18,
64.2437891960144,3,0,15:47:46,15:48:50,
92.53914761543274,3,1,16:30:21,16:31:54,h5sz3B76XaA
119.01059317588806,5,3,17:18:57,17:20:56,"0TN9ieU5ytU, eybuodNyZao, yHbdpurtWOE"
133.6903576850891,6,3,18:19:42,18:21:56,"E6UohEpOphQ, nz-QXPL-9i8, 4d_lO7JTMfE"
128.36720037460327,10,5,19:22:20,19:24:28,"P_gprio0ZHQ, sDYIpRyEvNo, E1pi-kYo9Ik, qChw51TN-v8, 8mh-GRMNLs4"
62.319257974624634,10,0,19:36:26,19:37:28,
171.893208026886,11,4,20:25:58,20:28:50,"Gd_XJHwQA4c, xWEtiFpnAP8, QhmR03gMolc, N3-XMkBkRE8"
180.8003568649292,11,1,20:52:32,20:55:33,3ZslManqW6A
213.62992215156555,19,8,21:12:36,21:16:10,"Llltp4-C_Os, PLSFufsW8tU, bRYYJU88q6Y, itSmu4AbLZc, UZMamgPkWnI, fAJdXrRlInY, UqhOIkkAu58, PgmANyIk8ZI"
81.55902338027954,15,0,21:29:13,21:30:34,
139.99630546569824,17,4,22:04:08,22:06:28,"O4rTxDLm-Ok, jFd4iTMa84w, ZHWUxGHbxjQ, HXFnlGawfuY"
130.34926390647888,11,2,22:42:30,22:44:40,"edTtFIy-Myo, o79yhcRHjpk"
88.61643433570862,7,1,23:24:11,23:25:40,1F77_O1iYyQ
53.54081845283508,6,0,23:35:51,23:36:44,
Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked
50.815197467803955,6,0,23:50:42,23:51:32,
Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked
53.31054925918579,6,0,23:52:33,23:53:27,
